Key,english,japanese
------------------Colors Orange  Blue [2b87eb]----------------
------------------Vanilla Changes---------------------
tooltipLocked,{0} Use,{0} で使用
tooltipUnlocked,{0} Use,{0} で使用
------------------Masters---------------
DecorationPackKitchenMaster,"Kitchen Master Block","キッチン/マスターブロック"
DecorationPackKitchenMasterDesc,"This block contains all general kitchen blocks.","キッチン用の飾りが選べる、シェイプメニュー付きブロック"
DecorationPackLivingRoomMaster,"Living Room Master Block","リビング/マスターブロック"
DecorationPackLivingRoomMasterDesc,"This block contains all general living room blocks.","リビングルーム用の飾りが選べる、シェイプメニュー付きブロック"
DecorationPackOutdoorsMaster,"Outdoors Master Block","アウトドア/マスターブロック"
DecorationPackOutdoorsMasterDesc,"This block contains all general outdoors blocks.","アウトドア用の飾りが選べる、シェイプメニュー付きブロック"
DecorationPackBathroomMaster,"Bathroom Master Block","バスルーム/マスターブロック"
DecorationPackBathroomMasterDesc,"This block contains all general bathroom blocks.","バスルーム用の飾りが選べる、シェイプメニュー付きブロック"
------------------Kitchen Blocks-----------------
DecorationCutlerySet,"Spoon Knife Fork","スプーン/ナイフ/フォーク"
DecorationCutlerySetDesc,"A set of silverware.","スプーンとナイフとフォークのセット"
DecorationCutlerySpoonSingle,"Spoon Single","スプーン(x1)"
DecorationCutlerySpoonSingleDesc,"A single spoon.","スプーン1本"
DecorationCutlerySpoonDouble,"Spoon Double","スプーン(x2)"
DecorationCutlerySpoonDoubleDesc,"A double spoon.","スプーン2本"
DecorationCutlerySpoonTriple,"Spoon Triple","スプーン(x3)"
DecorationCutlerySpoonTripleDesc,"A triple spoon.","スプーン3本"
DecorationCutleryForkSingle,"Fork Single","フォーク(x1)"
DecorationCutleryForkSingleDesc,"A single fork.","フォーク1本"
DecorationCutleryForkDouble,"Fork Double","フォーク(x2)"
DecorationCutleryForkDoubleDesc,"A double fork.","フォーク2本"
DecorationCutleryForkTriple,"Fork Triple","フォーク(x3)"
DecorationCutleryForkTripleDesc,"A triple fork.","フォーク3本"
DecorationCutleryKnifeSingle,"Knife Single","ナイフ(x1)"
DecorationCutleryKnifeSingleDesc,"A single knife.","ナイフ1本"
DecorationCutleryKnifeDouble,"Knife Double","ナイフ(x2)"
DecorationCutleryKnifeDoubleDesc,"A double knife.","ナイフ2本"
DecorationCutleryKnifeTriple,"Knife Triple","ナイフ(x3)"
DecorationCutleryKnifeTripleDesc,"A triple knife.","ナイフ3本"
DecorationPorcelainPlateBlue,"Blue Porcelain Plate","青皿"
DecorationPorcelainPlateBlueDesc,"A blue porcelain plate.","青い皿"
DecorationPorcelainPlateBlueWithCutlery,"Blue Porcelain Plate With Cutlery","青皿(カトラリー付き)"
DecorationPorcelainPlateBlueWithCutleryDesc,"A blue porcelain plate with cutlery.","カトラリー付きの青い皿"
DecorationPorcelainPlateRed,"Red Porcelain Plate","赤皿"
DecorationPorcelainPlateRedDesc,"A Red porcelain plate.","赤い皿"
DecorationPorcelainPlateRedWithCutlery,"Red Porcelain Plate With Cutlery","赤皿(カトラリー付き)"
DecorationPorcelainPlateRedWithCutleryDesc,"A Red porcelain plate with cutlery.","カトラリー付きの赤い皿"
DecorationPorcelainPlateStack3Red,"Red Porcelain Plate Stack (3)","赤皿(3枚)"
DecorationPorcelainPlateStack3RedDesc,"A stack (3) of red porcelain plates.","3枚スタックの赤の皿"
DecorationPorcelainPlateStack5Red,"Red Porcelain Plate Stack (5)","赤皿(5枚)"
DecorationPorcelainPlateStack5RedDesc,"A stack (5) of red porcelain plates.","5枚スタックの赤の皿"
DecorationPorcelainPlateStack10Red,"Red Porcelain Plate Stack (10)","赤皿(10枚)"
DecorationPorcelainPlateStack10RedDesc,"A stack (10) of red porcelain plates.","10枚スタックの赤の皿"
DecorationPorcelainPlateStack3DoubleRed,"Red Porcelain Plate Double Stack (3)","赤皿(3枚x2)"
DecorationPorcelainPlateStack3DoubleRedDesc,"A double stack (3) of red porcelain plates.","3枚スタックx2の赤の皿"
DecorationPorcelainPlateStack5DoubleRed,"Red Porcelain Plate Double Stack (5)","赤皿(5枚x2)"
DecorationPorcelainPlateStack5DoubleRedDesc,"A double stack (5) of red porcelain plates.","5枚スタックx2の赤の皿"
DecorationPorcelainPlateStack10DoubleRed,"Red Porcelain Plate Double Stack (10)","赤皿(10枚x2)"
DecorationPorcelainPlateStack10DoubleRedDesc,"A double stack (10) of red porcelain plates.","10枚スタックx2の赤の皿"
DecorationPorcelainPlateStack3Blue,"Blue Porcelain Plate Stack (3)","青皿(3枚)"
DecorationPorcelainPlateStack3BlueDesc,"A stack (3) of Blue porcelain plates.","3枚スタックの青の皿"
DecorationPorcelainPlateStack5Blue,"Blue Porcelain Plate Stack (5)","青皿(5枚)"
DecorationPorcelainPlateStack5BlueDesc,"A stack (5) of Blue porcelain plates.","5枚スタックの青の皿"
DecorationPorcelainPlateStack10Blue,"Blue Porcelain Plate Stack (10)","青皿(10枚)"
