Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german
z87_modArrowBoltMagazine,item_modifiers,mod,,,Arrow/Bolt Magazine Mod,,Pfeil/Bolzen-Magazin-Mod
z87_modArrowBoltMagazineDesc,item_modifiers,mod,,,A unique device made of plywood that is attachable to a 'Wooden Bow' or 'Iron Crossbow'.\nYou can read the initials J.S.\n\n+ 5 magazine size\n+ 20% rate of fire\n - 50% reload speed\n - 50% sneak damage,,Ein einzigartiges Gerät aus Sperrholz das an einem 'Holzbogen' oder 'Eiserne Armbrust' angebracht werden kann.\nDu kannst die Initialien J.S. lesen.\n\n+ 5 Magazingröße\n+ 20% Feuerrate\n - 50% Nachladegeschwindigkeit\n - 50% Schleich-Schaden
z87_modMagazineFunnel,item_modifiers,mod,,,Magazine Funnel Mod,,Magazin-Trichter-Mod
z87_modMagazineFunnelDesc,item_modifiers,mod,,,A funnel to insert magazines faster.\n\n+ 10% reload speed,,Ein Trichter zum schnelleren Einlegen von Magazinen.\n\n+ 10% Nachladegeschwindigkeit
z87_modMagazineFunnelSchematic,item_modifiers,mod,,,Magazine Funnel Mod Schematic,,Bauplan – Magazin-Trichter-Mod
z87_modMagazineClips,item_modifiers,mod,,,Magazine Clip Mod,,Magazin-Klemmen-Mod
z87_modMagazineClipsDesc,item_modifiers,mod,,,Clip magazines together to reduce reload time.\n\n+ 25% reload speed,,Klemmt Magazine zusammen um die Nachladegeschwindigkeit zu verringern.\n\n+ 25% Nachladegeschwindigkeit
z87_modMagazineClipsSchematic,item_modifiers,mod,,,Magazine Clip Mod Schematic,,Bauplan – Magazin-Klemmen-Mod
z87_modColtSpeedLoader,item_modifiers,mod,,,Colt Speedloader Mod,,Colt-Schnelllader-Mod
z87_modColtSpeedLoaderDesc,item_modifiers,mod,,,Keeps bullets in place for faster reloading of colt type weapons.\n\n+ 25% reload speed,,Hält Patronen an Ort und Stelle für ein schnelleres Nachladen von Colt-typ-Waffen.\n\n+ 25% Nachladegeschwindigkeit
z87_modColtSpeedLoaderSchematic,item_modifiers,mod,,,Colt Speedloader Mod Schematic,,Bauplan – Colt-Schnelllader-Mod
z87_modShotgunSpeedLoader,item_modifiers,mod,,,Double Barrel Speedloader Mod,,Doppelläufige-Schrotflinte-Schnelllader-Mod
z87_modShotgunSpeedLoaderDesc,item_modifiers,mod,,,Keeps shells in place to faster reload double barrel shotguns.\n\n+ 25% reload speed,,Hält Patronen an Ort und Stelle für ein schnelleres Nachladen von Doppelläufigen-Schrotflinten.\n\n+ 25% Nachladegeschwindigkeit
z87_modShotgunSpeedLoaderSchematic,item_modifiers,mod,,,Double Barrel Speedloader Mod Schematic,,Bauplan – Doppelläufige-Schrotflinte-Schnelllader-Mod
z87_modLongShells,item_modifiers,mod,,,Long Shells Mod,,Lange-Schrotpatronen-Mod
z87_modLongShellsDesc,item_modifiers,mod,,,Longer shotgun shells with more pellets but less power per shell.\n\n+ 4 pellets\n - 20% damage,,Längere Schrotpatronen mit mehr Kugeln aber weniger schaden pro Kugel.\n\n+ 4 Kugeln\n - 20% Schaden
z87_modLongShellsSchematic,item_modifiers,mod,,,Long Shells Mod Schematic,,Bauplan – Lange-Schrotpatronen-Mod
z87_modDragonBreath,item_modifiers,mod,,,Dragon Breath Mod,,Drachenatem-Mod
z87_modDragonBreathDesc,item_modifiers,mod,,,Every hit sets enemies on fire.\nNot usable for Auto Shotguns.\n\n! 100% chance to set enemies on fire,,Jeder Treffer lässt gegner brennen.\n\n! 100% chance gegner brennen zu lassen
z87_modDragonBreathSchematic,item_modifiers,mod,,,Dragon Breath Mod Schematic,,Bauplan – Drachenatem-Mod
z87_modCleaningCord,item_modifiers,mod,,,Cleaning Cord Mod,,Reinigungsschnur-Mod
