Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german
z87_modBadgesAttDesc,item_modifiers,mod,,,Can be added to any piece of armor or clothing.\nRaises the respective attribute by one.,,Kann jedem Rüstungsteil oder Kleidungsstück angebracht werden.\nErhöht den angegebenen Attribut um eins.
z87_modBadgesPerkDesc,item_modifiers,mod,,,Can be added to any piece of armor or clothing.\nRaises the respective perk by one.\n\n(You still need the required attributes tough),,Kann jedem Rüstungsteil oder Kleidungsstück angebracht werden.\nErhöht die angegebene Fähigkeit um eins.\n\n(Du benötigst aber immer noch die notwendigen Attribute)
z87_modBadgeattPerception,item_modifiers,mod,,,Perception Badge,,Wahrnehmung Abzeichen
z87_modBadgeattStrength,item_modifiers,mod,,,Strength Badge,,Stärke Abzeichen
z87_modBadgeattFortitude,item_modifiers,mod,,,Fortitude Badge,,Standhaftigkeit Abzeichen
z87_modBadgeattAgility,item_modifiers,mod,,,Agility Badge,,Beweglichkeit Abzeichen
z87_modBadgeattIntellect,item_modifiers,mod,,,Intellect Badge,,Intelligenz Abzeichen
z87_modBadgeperkDeadEye,item_modifiers,mod,,,Dead Eye Badge,,Präzisionsschütze Abzeichen
z87_modBadgeperkDemolitionsExpert,item_modifiers,mod,,,Demolitions Expert Badge,,Sprengmeister Abzeichen
z87_modBadgeperkJavelinMaster,item_modifiers,mod,,,Javelin Master Badge,,Speermeister Abzeichen
z87_modBadgeperkLockPicking,item_modifiers,mod,,,Lock Picking Badge,,Schlösserknacken Abzeichen
z87_modBadgeperkInfiltrator,item_modifiers,mod,,,The Infiltrator Badge,,Der Spion Abzeichen
z87_modBadgeperkAnimalTracker,item_modifiers,mod,,,Animal Tracker Badge,,Fährtenleser Abzeichen
z87_modBadgeperkPenetrator,item_modifiers,mod,,,The Penetrator Badge,,Der Durchborher Abzeichen
z87_modBadgeperkLuckyLooter,item_modifiers,mod,,,Lucky Looter Badge,,Der glückliche Sammler Abzeichen
z87_modBadgeperkTreasureHunter,item_modifiers,mod,,,Treasure Hunter Badge,,Schatzsucher Abzeichen
z87_modBadgeperkSalvageOperations,item_modifiers,mod,,,Salvage Operations Badge,,Altstoffsammlung Abzeichen
z87_modBadgeperkBoomstick,item_modifiers,mod,,,Boomstick Badge,,Donnerbüchse Abzeichen
z87_modBadgeperkPummelPete,item_modifiers,mod,,,Pummel Pete Badge,,Prügel-Peter Abzeichen
z87_modBadgeperkSkullCrusher,item_modifiers,mod,,,Skull Crusher Badge,,Schädelbrecher Abzeichen
z87_modBadgeperkSexualTrex,item_modifiers,mod,,,Sexual Tyrannosaurus Badge,,Sexueller Tyrannosaurus Abzeichen
z87_modBadgeperkHeavyArmor,item_modifiers,mod,,,Heavy Armor Badge,,Schwere Rüstung Abzeichen
z87_modBadgeperkPackMule,item_modifiers,mod,,,Pack Mule Badge,,Packesel Abzeichen
z87_modBadgeperkMasterChef,item_modifiers,mod,,,Master Chef Badge,,Chefkoch Abzeichen
z87_modBadgeperkMiner69r,item_modifiers,mod,,,Miner 69'er Badge,,Bergarbeitermeister Abzeichen
z87_modBadgeperkMotherLode,item_modifiers,mod,,,Mother Lode Badge,,Hauptader Abzeichen
z87_modBadgeperkBrawler,item_modifiers,mod,,,The Brawler Badge,,Der Raufbold Abzeichen
z87_modBadgeperkMachineGunner,item_modifiers,mod,,,Machine Gunner Badge,,Maschinengewehrschütze Abzeichen
z87_modBadgeperkTheHuntsman,item_modifiers,mod,,,The Huntsman Badge,,Der Jäger Abzeichen
z87_modBadgeperkWellInsulated,item_modifiers,mod,,,Well Insulated Badge,,Gut isoliert Abzeichen
z87_modBadgeperkLivingOffTheLand,item_modifiers,mod,,,Living Off The Land Badge,,Vom Land leben Abzeichen
z87_modBadgeperkPainTolerance,item_modifiers,mod,,,Pain Tolerance Badge,,Schmerztoleranz Abzeichen
z87_modBadgeperkHealingFactor,item_modifiers,mod,,,Healing Factor Badge,,Heilungsfaktor Abzeichen
z87_modBadgeperkSlowMetabolism,item_modifiers,mod,,,Iron Gut Badge,,Eisener Magen Abzeichen
z87_modBadgeperkRuleOneCardio,item_modifiers,mod,,,Rule 1: Cardio Badge,,Regel Nr.1: Ausdauertraining Abzeichen
z87_modBadgeperkArchery,item_modifiers,mod,,,Archery Badge,,Bogenschießen Abzeichen
z87_modBadgeperkGunslinger,item_modifiers,mod,,,Gunslinger Badge,,Revolverheld Abzeichen
z87_modBadgeperkDeepCuts,item_modifiers,mod,,,Deep Cuts Badge,,Tiefe Wunden Abzeichen
